fix,lat,lon
10484,40.973519,-084.700736
10485,40.826464,-084.689708
10487,40.001297,-089.522267
10488,41.488222,-088.048139
10489,44.758911,-097.763725
10490,46.125239,-095.440567
10491,44.450819,-095.006631
10492,44.423458,-095.069078
10493,43.785372,-094.219878
10494,43.297847,-094.513086
10495,49.001231,-093.703017
10497,44.214128,-093.353133
10498,44.296297,-093.906956
1049S,-10.000000,049.000000
10502,43.875631,-083.801119
10505,36.241806,-100.051389
10507,37.581458,-101.759672
1050S,-10.000000,050.000000
10510,39.125467,-096.862425
10513,38.252306,-095.098778
10514,39.698639,-094.533694
10515,40.403056,-094.181000
10516,36.529375,-093.923114
10517,36.775450,-093.749306
10518,36.839639,-092.565472
10519,37.021417,-092.834028
1051S,-10.000000,051.000000
10525,37.049272,-091.241881
10526,37.235472,-090.191500
10527,37.471656,-091.068264
10528,37.601406,-091.014544
10529,37.783933,-090.938603
10531,39.523417,-091.264361
10533,37.299861,-089.904694
10534,37.408000,-089.414806
10535,37.596528,-088.663944
10536,37.878750,-088.286639
10537,37.773806,-089.321278
10539,38.018944,-089.260083
10540,38.519944,-088.095750
10541,39.426917,-088.130722
10542,39.868417,-088.148139
10543,36.189383,-094.190925
10545,36.263500,-090.098861
10546,36.124222,-090.286972
10548,35.672083,-090.890417
10549,35.567139,-090.033889
10550,35.383417,-090.488806
10551,34.535417,-091.347583
10552,34.454083,-090.887111
10553,34.313972,-090.117500
10555,36.881500,-089.540694
10556,37.446944,-088.455417
10557,37.650936,-088.163506
10558,37.588878,-088.035778
10561,36.627417,-089.602194
10563,36.133417,-089.720639
10564,36.139944,-089.149083
10565,36.141889,-088.909167
10566,36.143833,-088.562722
10567,36.042722,-088.825639
10568,35.824417,-089.385889
10569,35.646278,-089.835917
10570,35.560861,-088.423278
10571,37.287111,-086.872639
10572,37.243389,-086.069639
10573,37.008000,-086.202444
10576,35.016083,-087.975500
10579,34.536167,-087.000000
10580,35.379611,-086.752222
10581,34.106500,-087.243944
10582,33.966583,-087.556000
10583,33.812972,-087.574389
10584,33.592667,-087.600647
10585,32.963097,-087.954517
10586,37.111744,-085.883389
10587,36.519556,-085.485583
10588,36.035639,-085.367528
10589,35.499444,-086.096056
10590,35.004556,-087.000000
10591,32.351833,-088.318778
10593,32.324614,-087.854650
10595,31.585797,-086.484964
10596,36.006917,-085.025667
10597,35.230906,-084.829081
10598,34.974889,-085.620528
10599,34.962528,-085.194139
10600,34.974519,-084.764967
10601,34.993942,-084.114661
10602,34.777500,-085.443611
10603,34.345283,-086.019278
10604,32.563058,-084.413389
10606,31.647947,-084.395189
10607,31.732939,-085.737331
10608,31.862486,-082.825725
10609,32.804633,-081.864472
1060S,-10.000000,060.000000
10610,33.788450,-081.572047
10612,36.264317,-085.091764
10613,36.545911,-083.989172
10614,36.692919,-083.393822
10616,37.061694,-081.832561
10617,37.329333,-080.631806
10619,37.176375,-080.541444
10620,36.678558,-081.850814
10621,36.515528,-080.157194
10622,36.136800,-079.894533
10623,36.120856,-079.844283
10624,34.655150,-080.668178
10625,34.292617,-081.373597
10627,30.793772,-085.137286
10628,27.989744,-084.961808
10635,28.443586,-081.280317
10637,27.964464,-082.351897
10639,27.950575,-082.710850
10640,32.821356,-081.561608
10642,32.843361,-081.140639
10644,28.438917,-081.290528
10645,27.950575,-082.594764
10646,28.779989,-080.909803
10647,34.851097,-079.954061
10648,34.643158,-079.631111
10649,34.308694,-078.565844
10650,34.090169,-078.272164
10651,29.349717,-082.612164
10652,29.254025,-082.458658
10654,26.917811,-082.073006
10661,26.762650,-081.918669
10665,39.171056,-080.100194
10666,39.010067,-080.465339
10667,38.807736,-080.549506
10672,38.175333,-080.689250
10673,38.121700,-080.369464
10674,38.096175,-080.219375
10678,37.821861,-080.764694
10679,39.705922,-078.426567
10680,39.665506,-078.289064
10682,39.423847,-078.263978
10687,38.960692,-078.216389
10689,38.740867,-078.172692
10690,38.576622,-078.125331
10693,38.045611,-079.925472
